,date,Gross Sales,Discounts,Net Sales,Tax,Total Collected,Cash,Card,PayPay
456,2019-01-02,352,0,352,28,380,380,0,0
457,2019-01-02,278,0,278,22,300,300,0,0
458,2019-01-02,139,0,139,11,150,150,0,0
459,2019-01-02,851,0,851,59,910,910,0,0
460,2019-01-02,565,0,565,45,610,610,0,0
461,2019-01-02,269,0,269,21,290,290,0,0
462,2019-01-02,241,0,241,19,260,260,0,0
463,2019-01-02,2723,0,2723,217,2940,2940,0,0
464,2019-01-02,371,0,371,29,400,400,0,0
465,2019-01-02,760,0,760,60,820,820,0,0
466,2019-01-02,723,0,723,57,780,780,0,0
467,2019-01-02,639,0,639,51,690,690,0,0
468,2019-01-02,47,0,47,3,50,50,0,0
469,2019-01-02,843,0,843,67,910,910,0,0
470,2019-01-02,362,0,362,28,390,390,0,0
471,2019-01-02,389,0,389,31,420,420,0,0
472,2019-01-02,1047,0,1047,83,1130,1130,0,0
473,2019-01-02,491,0,491,39,530,530,0,0
474,2019-01-02,880,0,880,70,950,950,0,0
475,2019-01-02,1112,0,1112,88,1200,1200,0,0
476,2019-01-02,399,0,399,31,430,430,0,0
477,2019-01-02,852,0,852,68,920,920,0,0
478,2019-01-02,797,0,797,63,860,860,0,0
479,2019-01-02,3001,0,3001,239,3240,3240,0,0
480,2019-01-02,732,0,732,58,790,790,0,0
481,2019-01-02,806,0,806,64,870,870,0,0
482,2019-01-02,519,0,519,41,560,560,0,0
483,2019-01-02,1167,0,1167,93,1260,1260,0,0
484,2019-01-02,223,0,223,17,240,240,0,0
485,2019-01-02,130,0,130,10,140,140,0,0
486,2019-01-02,399,0,399,31,430,430,0,0
487,2019-01-02,1658,0,1658,132,1790,1790,0,0
488,2019-01-02,538,0,538,42,580,580,0,0
489,2019-01-02,232,0,232,18,250,250,0,0
490,2019-01-02,741,0,741,59,800,800,0,0
491,2019-01-02,2852,0,2852,228,3080,3080,0,0
492,2019-01-02,269,0,269,21,290,290,0,0
493,2019-01-02,371,0,371,29,400,400,0,0
494,2019-01-02,1380,0,1380,110,1490,1490,0,0
495,2019-01-02,1084,0,1084,86,1170,1170,0,0
496,2019-01-02,501,0,501,39,540,540,0,0
497,2019-01-02,1815,0,1815,145,1960,1960,0,0
498,2019-01-02,852,0,852,68,920,920,0,0
499,2019-01-02,1185,0,1185,85,1270,1270,0,0
500,2019-01-02,1186,0,1186,94,1280,1280,0,0
501,2019-01-02,584,0,584,46,630,630,0,0
502,2019-01-02,371,0,371,29,400,400,0,0
503,2019-01-02,1380,0,1380,110,1490,1490,0,0
504,2019-01-02,575,0,575,45,620,620,0,0
505,2019-01-02,982,0,982,78,1060,1060,0,0
506,2019-01-02,389,0,389,31,420,420,0,0
507,2019-01-02,1121,0,1121,89,1210,1210,0,0
508,2019-01-02,723,0,723,57,780,780,0,0
509,2019-01-02,359,0,359,11,370,370,0,0
510,2019-01-02,825,0,825,65,890,890,0,0
511,2019-01-02,1001,0,1001,79,1080,1080,0,0
512,2019-01-02,1815,0,1815,145,1960,1960,0,0
513,2019-01-02,732,0,732,58,790,790,0,0
